SOi,Noi,RSPMi,SPMi,AQI
14.125,20.499999999999996,81.0,172.66666666666666,172.66666666666666
7.5,15.0,55.0,23.7,55.0
36.375,47.24999999999999,163.6326530612245,152.66666666666666,163.6326530612245
2.5,17.5,53.0,145.0732290673237,145.0732290673237
5.375,24.75,50.3,120.46666666666665,120.46666666666665
3.75,27.5,50.0,145.0732290673237,145.0732290673237
13.75,73.75,0.0,340.0,340.0
2.5,20.0,95.0,145.0732290673237,145.0732290673237
16.25,21.25,78.0,161.0452865463435,161.0452865463435
24.25,34.0,171.71428571428572,167.33333333333331,171.71428571428572
5.0,23.75,90.0,117.81937623869312,117.81937623869312
6.75,24.75,0.0,316.25,316.25
11.25,26.25,40.0,117.81937623869312,117.81937623869312
0.0,0.0,0.0,0.0,0.0
6.594842473350697,21.12445970562662,17.0,35.0,35.0
11.174483306836258,22.867448330683615,76.53652968036529,96.0,96.0
33.5,49.375,177.77551020408163,173.37836342959858,177.77551020408163
7.5,56.25,45.0,189.00434927470332,189.00434927470332
2.5,36.25,0.0,145.0732290673237,145.0732290673237
15.0,23.75,74.0,161.0452865463435,161.0452865463435
22.125,12.749999999999998,98.24450975251996,167.33333333333331,167.33333333333331
25.5,27.25,103.0204081632653,186.66666666666666,186.66666666666666
6.25,20.0,92.0,117.81937623869312,117.81937623869312
16.25,17.5,195.9591836734694,145.0732290673237,195.9591836734694
18.5,54.125,57.0,136.66666666666666,136.66666666666666
6.25,62.5,68.0,189.00434927470332,189.00434927470332
18.75,67.5,0.0,117.81937623869312,117.81937623869312
31.75,47.87499999999999,61.212765957446805,67.25419256550896,67.25419256550896
8.75,27.5,45.0,117.81937623869312,117.81937623869312
16.5,17.125,78.0,144.0,144.0
8.75,75.0,54.0,189.00434927470332,189.00434927470332
14.48426227011652,23.299495322397007,79.0,173.37836342959858,173.37836342959858
3.625,24.500000000000004,128.7158934890604,164.66666666666666,164.66666666666666
2.5,15.0,66.0,145.0732290673237,145.0732290673237
5.0,41.25,0.0,410.2325581395349,410.2325581395349
10.75,100.1,125.24489795918367,192.88888886666666,192.88888886666666
2.5,30.0,46.0,145.0732290673237,145.0732290673237
5.0,75.0,0.0,361.7526103681993,361.7526103681993
17.5,18.75,95.0,173.37836342959858,173.37836342959858
5.875,9.625,62.0,117.33333333333333,117.33333333333333
15.0,16.25,53.0,145.0732290673237,145.0732290673237
23.625,31.5,98.24450975251996,221.0,221.0
23.75,37.5,86.0,161.0452865463435,161.0452865463435
14.625,25.625,99.0,186.66666666666666,186.66666666666666
17.5,26.25,95.0,161.0452865463435,161.0452865463435
10.625,34.125,45.0,67.0,67.0
11.8125,21.1458333375,26.66666667,70.66666667,70.66666667
10.625,22.374999999999996,26.0,44.0,44.0
6.625,74.5,61.0,128.66666666666666,128.66666666666666
6.75,14.5,77.0,137.33333333333331,137.33333333333331
17.5,23.75,80.0,24.0,80.0
14.143917715348291,27.001502469003306,26.0,95.0,95.0
2.5,12.9166666625,66.0,152.88888886666666,152.88888886666666
18.75,30.0,36.0,117.81937623869312,117.81937623869312
14.25,14.625,67.0,173.37836342959858,173.37836342959858
8.75,21.25,30.0,147.0300157977883,147.0300157977883
7.5,16.25,66.58563750532086,119.33333333333333,119.33333333333333
13.75,21.25,41.0,117.81937623869312,117.81937623869312
22.125,86.375,97.0,132.66666666666666,132.66666666666666
18.8125,35.2708333375,155.55102040816325,202.33333330000002,202.33333330000002
24.375,32.125,92.0,156.66666666666666,156.66666666666666
12.125,62.125,37.0,102.66666666666667,102.66666666666667
16.25,31.25,41.0,117.81937623869312,117.81937623869312
14.75,15.5,41.0,95.0,95.0
27.5,38.75,155.55102040816325,143.33333333333331,155.55102040816325
9.75,24.249999999999996,73.749430523918,44.0,73.749430523918
16.25,25.0,93.0,161.0452865463435,161.0452865463435
8.75,22.5,20.0,147.0300157977883,147.0300157977883
29.0,38.5,139.3877551020408,140.0,140.0
2.5,28.375,53.0,173.37836342959858,173.37836342959858
43.375,23.5,87.0,97.0,97.0
13.0,18.0,75.0,171.33333333333331,171.33333333333331
16.25,30.0,111.10204081632654,33.57,111.10204081632654
10.921590909090892,66.86143374547261,171.71428571428572,273.0,273.0
5.375,32.5,19.33333333,46.0,46.0
28.75,43.75,164.98632653061222,136.0,164.98632653061222
6.594842473350697,19.625,42.0,112.66666666666667,112.66666666666667
8.5,21.25,73.749430523918,50.0,73.749430523918
20.625,26.5,89.0,173.37836342959858,173.37836342959858
10.125,109.0,0.0,290.0,290.0
7.25,66.625,0.0,431.62790697674416,431.62790697674416
9.625,67.25,48.0,113.11111113333334,113.11111113333334
15.0,27.5,95.0,24.0,95.0
9.25,14.0,68.0,139.33333333333331,139.33333333333331
3.75,33.75,49.0,189.00434927470332,189.00434927470332
7.5,67.25,0.0,436.04651162790697,436.04651162790697
6.594842473350697,19.75,90.0,142.66666666666666,142.66666666666666
6.25,57.625,33.0,83.0,83.0
14.625,14.5,79.0,102.0,102.0
7.5,53.75,40.66666667,75.33333333,75.33333333
2.5,16.25,62.0,117.81937623869312,117.81937623869312
2.5,16.25,30.0,145.0732290673237,145.0732290673237
16.25,26.25,72.0,161.0452865463435,161.0452865463435
13.75,22.5,93.0,161.0452865463435,161.0452865463435
6.25,11.25,0.0,117.81937623869312,117.81937623869312
2.5,26.25,36.0,189.00434927470332,189.00434927470332
7.5,23.75,109.08163265306122,145.0732290673237,145.0732290673237
12.0,59.625,169.69387755102042,254.0,254.0
6.594842473350697,21.5,57.0,123.33333333333333,123.33333333333333
20.0,23.75,127.26530612244898,117.81937623869312,127.26530612244898
18.75,25.0,86.0,161.0452865463435,161.0452865463435
11.125,23.250000000000004,58.0,256.0,256.0
6.75,9.375,76.53652968036529,101.33333333333333,101.33333333333333
15.0,38.75,113.12244897959184,161.0452865463435,161.0452865463435
6.25,16.25,0.0,145.0732290673237,145.0732290673237
12.0,31.25,82.0,159.33333333333331,159.33333333333331
13.75,13.75,149.48979591836735,145.0732290673237,149.48979591836735
22.5,35.0,93.0,161.0452865463435,161.0452865463435
0.0,0.0,0.0,0.0,0.0
21.25,26.25,79.0,161.0452865463435,161.0452865463435
14.0,101.4,159.59183673469386,259.3333333,259.3333333
15.5,29.125,74.0,131.33333333333334,131.33333333333334
3.0,33.5,70.0,42.0,70.0
16.125,30.0,0.0,320.0,320.0
15.76095700009386,43.49999999999999,21.0,140.0,140.0
12.5,47.5,181.81632653061223,189.00434927470332,189.00434927470332
11.375,15.5,66.0,130.0,130.0
14.48426227011652,23.299495322397007,165.6530612244898,173.37836342959858,173.37836342959858
18.75,30.0,125.24489795918367,42.14,125.24489795918367
10.0,28.75,60.0,117.81937623869312,117.81937623869312
17.862499999999997,27.2875,59.32,173.37836342959858,173.37836342959858
18.5,23.125,30.0,66.0,66.0
18.75,22.5,71.0,86.0,86.0
2.875,23.299495322397007,0.0,340.0,340.0
23.125,28.125,83.61982436042825,119.33333333333333,119.33333333333333
5.375,52.5,175.75510204081633,256.0,256.0
15.125,81.875,163.6326530612245,253.0,253.0
91.75,226.5,129.36634718323694,154.0,226.5
11.25,31.25,82.0,117.81937623869312,117.81937623869312
6.594842473350697,10.125,75.0,106.0,106.0
14.48426227011652,6.25,121.20408163265306,173.37836342959858,173.37836342959858
4.625,24.125,128.7158934890604,267.0,267.0
13.75,20.0,0.0,173.37836342959858,173.37836342959858
8.75,33.75,109.08163265306122,305.0,305.0
18.75,37.5,90.0,161.0452865463435,161.0452865463435
12.5,27.5,0.0,145.0732290673237,145.0732290673237
12.5,44.62500000000001,0.0,367.5,367.5
18.75,30.0,82.0,161.0452865463435,161.0452865463435
16.25,30.0,86.0,37.0,86.0
2.5,8.75,32.0,145.0732290673237,145.0732290673237
20.625,100.4,175.75510204081633,416.9767441860465,416.9767441860465
14.229166662499999,26.1666666625,63.66666667,120.66666666666666,120.66666666666666
8.75,11.375,128.7158934890604,190.0,190.0
10.0,63.75,50.0,189.00434927470332,189.00434927470332
3.9583333337499997,21.3541666625,47.66666667,97.0,97.0
13.75,7.5,3.0,67.25419256550896,67.25419256550896
15.5,33.75,0.0,173.37836342959858,173.37836342959858
23.75,35.0,89.0,161.0452865463435,161.0452865463435
13.875,18.75,128.7158934890604,58.0,128.7158934890604
17.5,37.5,98.0,161.0452865463435,161.0452865463435
13.75,92.5,0.0,189.00434927470332,189.00434927470332
18.75,28.75,46.0,117.81937623869312,117.81937623869312
16.75,22.25,179.79591836734693,387.5,387.5
7.0,27.75,161.6122448979592,272.0,272.0
10.921590909090892,66.86143374547261,23.67,55.0,66.86143374547261
20.0,47.5,81.0,161.0452865463435,161.0452865463435
