1891,2350,2566,3026,3310,3685,4121
1845,2213,2642,2974,3299,3745,4083
1944,2216,2706,2992,3303,3758,4033
1899,2226,2596,2976,3381,3710,4038
1891,2306,2588,2992,3367,3850,4078
1838,2288,2816,3007,3317,3679,4132
1933,2302,2800,2967,3424,3697,4049
1869,2206,2707,2952,3365,3864,4017
2054,2196,2637,2985,3378,3706,4073
1841,2263,2621,2966,3405,3774,4076
1896,2228,2644,3033,3470,3830,4036
1862,2357,2603,3118,3410,3754,4206
1875,2379,2564,2931,3305,3747,4057
1851,2302,2682,2980,3344,3664,4091
1856,2200,2629,2935,3409,3899,4115
1871,2223,2577,2945,3324,3658,4016
1936,2211,2596,3057,3444,3678,4133
1910,2260,2635,2959,3327,3695,4029
1871,2239,2629,3009,3366,3679,4081
1906,2210,2635,2994,3294,3675,4157
1859,2235,2602,2925,3323,3687,4082
1870,2230,2622,2950,3302,3697,4113
1835,2270,2679,2940,3335,3717,4101
1977,2222,2750,3110,3403,3771,4055
1861,2240,2633,2946,3437,3702,4089
1939,2207,2641,3041,3292,3658,4016
1835,2233,2622,2939,3438,3745,4113
1909,2240,2640,2920,3398,3798,4037
1859,2491,2570,2989,3433,3736,4016
1859,2337,2671,3229,3392,3735,4067
1927,2283,2590,2930,3377,3743,4044
1836,2203,2629,3008,3323,3708,4061
1877,2259,2660,2962,3322,3665,4179
1887,2367,2733,3049,3364,3676,4072
1934,2341,2652,3020,3314,3656,4073
1897,2321,2617,2925,3397,3726,4087
1893,2270,2577,3088,3527,3679,4090
1911,2375,2749,2935,3302,3670,4185
1920,2315,2696,3054,3316,3656,4027
1948,2255,2577,2985,3297,3732,4092
1916,2330,2616,2948,3395,3850,4121
1903,2243,2628,3000,3299,3667,4106
1860,2266,2666,3002,3305,3724,4029
1968,2203,2561,3021,3373,3811,4108
1967,2454,2629,2970,3363,3712,4121
2017,2315,2698,2942,3440,3691,4062
1833,2390,2624,3037,3405,3665,4030
1929,2235,2704,2992,3291,3764,4101
1946,2282,2703,2946,3336,3689,4019
2007,2265,2610,2926,3305,3698,4057
1898,2225,2723,3066,3301,3720,4048
1876,2300,2579,2964,3318,3893,4095
1842,2232,2764,2948,3394,3738,4105
1939,2304,2694,2967,3335,3651,4057
1949,2279,2684,2943,3457,3736,4058
1926,2238,2669,3189,3328,3736,4177
1852,2277,2600,3053,3311,3707,4106
1855,2249,2575,2929,3421,3783,4032
2082,2280,2771,2961,3409,3670,4061
2006,2301,2773,2952,3307,3755,4070
1994,2277,2569,2928,3444,3824,4025
1840,2216,2636,3015,3306,3685,4018
1840,2372,2618,3030,3314,3800,4083
1937,2238,2697,2951,3374,3751,4086
1979,2268,2740,2946,3300,3819,4136
1955,2223,2560,3006,3509,3665,4015
1887,2375,2635,2950,3352,3671,4017
1847,2250,2586,3003,3522,3687,4056
1894,2271,2670,2929,3304,3702,4194
1941,2227,2578,2957,3316,3735,4093
1893,2218,2733,3017,3309,3668,4052
1847,2195,2570,3162,3433,3691,4045
2072,2282,2673,2938,3579,3720,4017
1888,2258,2631,2939,3355,3665,4147
1882,2223,2598,3063,3398,3685,4052
1861,2232,2645,2999,3339,3677,4078
1897,2297,2621,3008,3393,3821,4099
1889,2309,2567,3033,3301,3768,4068
1880,2254,2572,2929,3424,3699,4050
1861,2266,2620,3043,3330,3690,4063
1830,2298,2645,3076,3314,3738,4036
1951,2261,2635,2980,3394,3661,4087
1952,2444,2717,2981,3327,3674,4016
1953,2251,2641,2953,3302,3727,4079
1902,2220,2621,2981,3292,3684,4055
2018,2280,2807,3011,3334,3681,4156
2031,2257,2613,2976,3408,3690,4149
1868,2427,2659,2957,3340,3735,4080
2005,2229,2723,2991,3364,3902,4180
1855,2232,2648,2999,3359,3746,4111
1908,2299,2570,2940,3299,3682,4042
1880,2216,2598,2986,3406,3761,4119
1878,2384,2572,3058,3314,3655,4027
1860,2270,2801,2972,3313,3854,4074
1924,2197,2562,3065,3318,3894,4069
1927,2218,2696,3027,3349,3681,4213
1829,2332,2623,2941,3384,3719,4131
1847,2410,2581,2965,3404,3730,4232
1942,2199,2609,3000,3318,3862,4150
1876,2247,2596,2999,3347,3749,4035
